"site_ids","last_data_timestamp","type0_oem_siteId","type0_oem_name","type1_oem_name","type1_oem_siteId","customer_name","customer_email","site_address","state","installer_name","isTPORegistered","isVppRegistered","isLeapRegistered","leap_meter_id","wMaxRtg","system_size_kw","productInfo_prodCode","productInfo_prodMfr","productInfo_prodType","productInfo_prodName","productInfo_prodSubType","has_battery","account_number","APP_TPO_AccountId","system_status_1h_online"
"400002401","","SE37QV69AO","Qcells","","","","","7726 Niagara Fls Blvd Niagara Falls NY 14304","NY","","","False","False","","","","","","","","","No","APPTPO-2506164474","2506164474","offline"
"400005733","","d45c9f12-61f9-4d3a-a630-3522704ce646","Tesla","","","Chivate Yogesh","yogesh@yopmail.com","31755 Alvarado Blvd AV Union City CA 94587","CA","Demo Installer","True","True","False","","325","6.02","ENPHASE_ENERGY_INC_-IQ8M_72_M_US__240V_","Enphase Energy Inc.","MicroInverter","IQ8M-72-M-US [240V]","","No","Tesla_TEST_AVAI_AD_0054","","offline"
"200000362","","200000362","Qcells","","","","","New York City Hall New York NY 10007","NY","","False","False","False","","","","","","","","","No","200000362","","offline"
"100004194","","100004194","Qcells","","","","","11 11 CA 06543","CA","","","False","False","","","","","","","","","No","100004194","","offline"
"400005745","","00555518181841","Tesla","","","","","501 2nd St San Francisco CA 94107","CA","","False","False","False","","3330","0","QCELLS-Q_VOLT_H7_6SX","Qcells","Inverter","Q.VOLT H7.6SX","HybridInverter","No","400005745","","offline"
"400005701","","d45c9f12-61f9-4d3a-a630-3522704ce646","Tesla","","","Chivate Yogesh","yogesh@yopmail.com","31755 Alvarado Blvd AV Union City CA 94587","CA","Demo Installer","True","True","False","","325","6.02","ENPHASE_ENERGY_INC_-IQ8M_72_M_US__240V_","Enphase Energy Inc.","MicroInverter","IQ8M-72-M-US [240V]","","No","Tesla_TEST_AVAI_AD_0025","","offline"
"400005732","","d45c9f12-61f9-4d3a-a630-3522704ce646","Tesla","","","Chivate Yogesh","yogesh@yopmail.com","31755 Alvarado Blvd AV Union City CA 94587","CA","Demo Installer","True","True","False","","325","6.02","ENPHASE_ENERGY_INC_-IQ8M_72_M_US__240V_","Enphase Energy Inc.","MicroInverter","IQ8M-72-M-US [240V]","","No","Tesla_TEST_AVAI_AD_0056","","offline"
"400003437","","88520134185","SolarEdge","","","","","501 2nd St San Francisco CA 94107","CA","","","False","False","","","","","","","","","No","400003437","","offline"
"200000587","","200000587","Qcells","","","","","1237 Harding Pl Charlotte NC 28204","NC","Test N 24","False","False","False","","","","","","","","","No","200000587","","offline"
"100000439","","100000439","Qcells","","","","","- - UN 04541","UN","","False","False","False","","","","","","","","","No","100000439","","offline"
"200000461","","200000461","Qcells","","","","","New York City Hall New York NY 10007","NY","","","False","False","","","","","","","","","No","200000461","","offline"
"100004327","","100004327","Qcells","","","","","Vermont St Lawrence KS 66044","KS","","","False","False","","","","","","","","","No","100004327","","offline"
"100003822","","100003822","Qcells","","","","","- - KS 03088","KS","","","False","False","","","","","","","","","No","100003822","","offline"
"100003620","","100003620","Qcells","","","John Anon","john.anon@example.com","456 Anon Street Anon City TX 75001","TX","Anon Solar Company","True","True","False","","","","","","","","","No","ANON-123456789Z","","offline"
"200000590","","200000590","Qcells","","","","","New York City Hall New York NY 10007","NY","Rajesh ","False","False","False","","","","","","","","","No","200000590","","offline"
"400005885","","d45c9f12-61f9-4d3a-a630-3522704ce647","Tesla","","","","","31755 Alvarado Blvd AV Union City CA 94587","CA","","","False","False","","","","","","","","","No","Tesla_TEST_AVAI_AD_0100","","offline"
"100000428","","100000428","Qcells","","","","","Triton Court Santa Clara CA 95050","CA","","False","False","False","","","","","","","","","No","100000428","","offline"
"190001924","","190001924","Qcells","","","ChanHyup Kim","chanhyup.kim@qcells.com","223 Fawn Ridge Drive Copperas Cove TX 76522","TX","Demo Installer","True","True","False","","3805","9.02","QCELLS-Q_VOLT_H3_8SX","Qcells","Inverter","Q.VOLT H3.8SX","HybridInverter","No","APPTPO-2412332029","2412332029","offline"
"200060026","","200060026","Qcells","","","","","Test patch 3 Street Test 2 patchCity TX 75001","TX","Demo Installer","False","False","False","","","","","","","","","No","DEV_ACSGEN2_AVAI_AD_200060026","","offline"
"200000585","","200000585","Qcells","","","","","New York City Hall New York NY 10007","NY","Qcells","False","False","False","","","","","","","","","No","200000585","","offline"
"100000268","","100000268","Qcells","","","","","- - UN 41756","UN","","False","False","False","","","","","","","","","No","100000268","","offline"
"200000523","","200000523","Qcells","","","","","New York City Hall New York NY 10007","NY","","","False","False","","","","","","","","","No","200000523","","offline"
"100000389","","100000389","Qcells","","","","","- - UN 04538","UN","","False","False","False","","","","","","","","","No","100000389","","offline"
"200000596","","200000596","Qcells","","","","","New York City Hall New York NY 10007","NY","","False","False","False","","","","","","","","","No","200000596","","offline"
"400002283","","4344575Ericka","SolarEdge","","","","","7890 Cedar Rd Fresno CA 93701","CA","","","False","False","","","","","","","","","No","400002283","","offline"
"200000168","","200000168","Qcells","","","","","Austin South Terminal Austin TX 78719","TX","","False","False","False","","","","","","","","","No","200000168","","offline"
"110005885","","110005885","Qcells","SolarEdge","4393791","ChanHyup Kim","chanhyup.kim@qcells.com","501 2nd St San Francisco CA 94107","CA","Demo Installer","True","False","False","","7593","9.02","QCELLS-Q_VOLT_H7_6SX","Qcells","Inverter","Q.VOLT H7.6SX","HybridInverter","No","APPTPO-2344416881","2344416881","offline"
"200000556","","200000556","Qcells","","","","","12354 Uline Wy Kenosha WI 53144","WI","Qcells","False","False","False","","","","","","","","","No","200000556","","offline"
"110000005","","110000005","Qcells","","","F Test L Test","testuser@yopmail.com","501 2nd St San Francisco CA 94107","CA","","True","True","True","d0aff37b-6b04-4432-9cbd-02e0045ddec6","","","","","","","","No","110000005","","offline"
"100000157","","100000157","Qcells","","","test test","test@qcells.com","- Union Park FL 06766","FL","","False","False","False","","","","","","","","","No","100000157","","offline"
"100006543","","100006543","Qcells","","","","","501 2nd ST Port St. Lucie FL 34953","FL","","","False","False","","","","","","","","","No","ASSET-20240219-C034","","offline"
"100003867","","100003867","Qcells","","","","","Rose Street San Francisco CA 94102","CA","","","False","False","","","","","","","","","No","100003867","","offline"
"200000561","","200000561","Qcells","","","","","579 5th Ave New York NY 10017","NY","Qcells","False","False","False","","","","","","","","","No","200000561","","offline"
"400003429","","88520134185","SolarEdge","","","","","501 2nd St San Francisco CA 94107","CA","","","False","False","","","","","","","","","No","400003429","","offline"
"200000363","","200000363","Qcells","","","","","New York City Hall New York NY 10007","NY","","False","False","False","","","","","","","","","No","200000363","","offline"
